id_ocorrencia,local_ocorrencia,latitude_ocorrencia,longitude_ocorrencia,data_ocorrencia,hora_ocorrencia,presen_agen_segur_ocorrencia,qtd_morto_civil_ocorrencia,qtd_morto_agen_segur_ocorrencia,qtd_ferido_civil_ocorrencia,qtd_ferido_agen_segur_ocorrencia,fonte_ocorrencia,estado_id,cidade_id,nome_cidade,cod_ibge_cidade,gentilico_cidade,populacao_cidade,area_cidade,densidade_demo_cidade,nome_estado,uf_estado,cod_ibge_estado
154,"Morro dos Cabritos - Lagoa, Rio de Janeiro - RJ, Brasil",-22.9686107635,-43.1977767944,2016-07-07,15:57:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
155,"Praça Seca, Rio de Janeiro - RJ, Brasil",-22.8969192505,-43.3516807556,2016-07-07,16:57:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
156,"Rua Álvares de Azevedo - Cachambi, Rio de Janeiro - RJ, Brasil",-22.8904476166,-43.2634544373,2016-07-07,4:24:00,1,1,0,1,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
162,"Leme, Rio de Janeiro - RJ, Brasil",-22.9615020752,-43.1662406921,2016-07-07,18:30:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
163,"Estrada Rio D'ouro - Pavuna, Rio de Janeiro - RJ, Brasil",-22.8170471191,-43.3471221924,2016-07-07,18:59:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
164,"Rua Mogiqui - Costa Barros, Rio de Janeiro - RJ, Brasil",-22.8236274719,-43.369884491,2016-07-07,19:21:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
165,"Rua São Francisco Xavier - Maracanã, Rio de Janeiro - RJ, Brasil",-22.9137611389,-43.2340965271,2016-07-07,20:23:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
171,Rua afonso guimaraes 47,-22.8395805359,-43.3232727051,2016-07-07,22:13:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
173,"Rua Antônio Basílio - Tijuca, Rio de Janeiro - RJ, Brasil",-22.9269218445,-43.2378234863,2016-07-07,23:09:00,0,1,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
175,"Av. Bento Ribeiro Dantas - Maré, Rio de Janeiro - RJ, Brasil",-22.8672828674,-43.2407035828,2016-07-07,23:16:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
177,"Estrada Do Magarca próximo ao 1284 - Campo Grande, Rio de Janeiro - RJ, Brasil",-22.9333572388,-43.5750007629,2016-07-07,23:35:00,1,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
178,"Rua da Jangada - Penha Circular, Rio de Janeiro - RJ, Brasil",-22.8542060852,-43.3020706177,2016-07-08,0:45:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
181,"Rua Bem-Te-VI - Galeão, Rio de Janeiro - RJ, Brasil",-22.8133335114,-43.2296600342,2016-07-08,7:10:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
182,"Pavuna, Rio de Janeiro - RJ, Brasil",-22.8112316132,-43.3625259399,2016-07-08,7:02:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
183,"Rua Iguaba Grande - Pavuna, Rio de Janeiro - RJ, Brasil",-22.8167095184,-43.3751106262,2016-07-08,7:48:00,1,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
184,"Estrada José Rucas - Penha, Rio de Janeiro - RJ, Brasil",-22.8485546112,-43.2817573547,2016-07-08,9:15:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
185,"Av. Pirpirituba - Realengo, Rio de Janeiro - RJ, Brasil",-22.890630722,-43.4213790894,2016-07-08,11:35:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
186,"Estr. do Camboatá 3427 - Guadalupe, Rio de Janeiro - RJ, Brasil",-22.8317451477,-43.3746147156,2016-07-08,12:17:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
191,"Rua Jose Do Patrocinio próximo ao 290 - Grajau, Rio de Janeiro - RJ, Brasil",-22.9182434082,-43.2630271912,2016-07-08,22:37:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
193,"Rua Manhama - Guadalupe, Rio de Janeiro - RJ, Brasil",-22.8272075653,-43.375164032,2016-07-09,0:32:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
196,"Linha Amarela - Bonsucesso, Rio de Janeiro - RJ, Brasil",-22.8718605042,-43.2544212341,2016-07-09,3:08:00,1,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
198,"Galeão, Rio de Janeiro - RJ, Brasil",-22.8112621307,-43.2269363403,2016-07-08,16:40:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
199,"Rua Judite Guerra - Pavuna, Rio de Janeiro - RJ, Brasil",-22.8088321686,-43.3681983948,2016-07-09,8:07:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
200,"Rua do Bispo, 117 - Rio Comprido, Rio de Janeiro - RJ, Brasil",-22.9242286682,-43.2123413086,2016-07-09,8:40:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
201,"Estrada Coronel Viêira - Irajá, Rio de Janeiro - RJ, Brasil",-22.8474693298,-43.3199768066,2016-07-09,11:10:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
