"data","disparo","cidade","bairro","cod_bairro","local","outras_regioes","fonte","fonte2","tipo_operacao","media_fonte","media_link","presenca_civil","presenca_pmerj","presenca_uniao"
"25/01/2018",0,"Rio de Janeiro","Jacarezinho",155,"Jacarezinho",,"SAER","Twitter","ND","R7","https://noticias.r7.com/rio-de-janeiro/balanco-geral-rj/videos/policia-realiza-operacao-no-jacarezinho-nesta-quinta-feira-25-25012018","SAER",,
"29/01/2018",0,"Rio de Janeiro","Copacabana",24,"Tabajaras","Cabrito","GAM",,"ND",,,,"GAM",
"29/01/2018",0,"Belford Roxo",,,,,"Twitter",,"ND",,,,,
"29/01/2018",0,"Rio de Janeiro",,"ND",,,"Twitter",,"ND",,,,,
"31/01/2018",0,"Rio de Janeiro","Cidade de Deus",118,,,"Twitter",,"Combate a facções","O Dia","https://odia.ig.com.br/_conteudo/2018/01/rio-de-janeiro/5509839-moradores-da-cidade-de-deus-voltam-a-ter-dia-de-panico-e-linha-amarela-e-fechada.html",,"GAM",
"01/02/2018",0,"Rio de Janeiro","Cidade de Deus",118,,,"Facebook",,"Combate a facções","O Globo","https://oglobo.globo.com/rio/um-dia-apos-confrontos-que-deixaram-cenario-de-terror-tiroteios-voltam-causar-panico-na-linha-amarela-22352877?utm_source=Facebook&utm_medium=Social&utm_campaign=compartilhar","SAER",,
"01/02/2018",0,"Belford Roxo","Morro da Caixa D'gua",,,"Parque Roseiral","SAER","Twitter","ND",,,,,
"02/02/2018",0,"Rio de Janeiro","Complexo do Alemão",156,"Fazendinha","Nova Brasília","GAM",,"ND",,,,"GAM",
"02/02/2018",0,"Rio de Janeiro","Santa Teresa",14,"Morro dos Prazeres",,"SAER",,"ND",,,"SAER",,
"02/02/2018",0,"Duque de Caxias","Imbariê",,,,"SAER",,"ND",,,"SAER",,
"03/02/2018",0,"Rio de Janeiro","Maré",157,"Nova Holanda",,"GAM",,"ND",,,,"GAM",
"03/02/2018",0,"Rio de Janeiro","Cidade de Deus",118,,,"GAM","PCERJ","ND",,,"SAER","GAM",
"05/02/2018",0,"Rio de Janeiro","Vila Kennedy",162,,,"Twitter",,"ND",,,,,
"06/02/2018",0,"Rio de Janeiro","Maré",157,,,"Twitter",,"ND",,,,"GAM",
"07/02/2018",0,"Rio de Janeiro","Cidade de Deus",118,,,"Twitter",,"ND",,,,,
"08/02/2018",0,"Queimados",,,,,"GAM",,"ND",,,,"GAM",
"11/02/2018",0,"Rio de Janeiro","Recreio dos Bandeirantes",132,"Praia da Macumba",,"SAER",,"ND",,,"SAER",,
"11/02/2018",0,"Rio de Janeiro","Copacabana",24,"Tabajaras","Cemitério","SAER","Twitter","ND",,,"SAER",,
"13/02/2018",0,"Rio de Janeiro","Praça Seca",124,"Bateau Mouche","Fazenda","GAM",,"ND",,,,"GAM",
"15/02/2018",1,"Rio de Janeiro","Realengo",139,"Cosmos","Sulacap;Jardim Novo;Nogueira","SAER","Twitter","ND",,,"SAER",,
"18/02/2018",0,"Rio de Janeiro","Botafogo",20,"Dona Marta",,"Twitter",,"ND",,,,,
"19/02/2018",0,"Rio de Janeiro","Lagoa",27,,,"SAER",,"ND",,,"SAER",,
"20/02/2018",0,"Rio de Janeiro","Penha",43,"Kelson",,"GAM",,"ND",,,,"GAM",
"21/02/2018",0,"Rio de Janeiro","Acari",111,"Irajá",,"SAER","Twitter","ND",,,"SAER;CORE",,
"21/02/2018",0,"Duque de Caxias","Imbariê",,"Parada Angélica","Santa Lúcia;Vila Sapê;Imbariê","Twitter",,"ND",,,"SAER;CORE",,
"22/02/2018",0,"Rio de Janeiro","Maré",157,"Vila dos Pinheiros",,"SAER","Twitter","Mandados","O Dia","https://odia.ig.com.br/rio-de-janeiro/2018/02/5516235-operacao-da-policia-civil-tem-intenso-tiroteio-e-panico-na-mare.html","SAER;CORE",,
